state,signal,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,pitch_rate,roll_rate,yaw_rate,packet_rate,rtt,speed,delay,car_distance
0,0,0,0,0,0,-3.589516591860836e-05,4.1918479435847245e-05,-5.995607372368442e-06,3.7439005984739388e-06,3.4252304551655606e-07,0,0,0,0,0
0,0,0,0,0,0,4.917093451289212e-05,-1.4875598805864291e-05,1.0580141057636395e-06,2.2013273478184733e-06,-2.3778453416760115e-06,0,0,0,0,0
0,0,783.821920116994,-602.249492407305,52.27368878482062,-0.0002465365396346897,5.193828823577483e-06,-0.00016494041504923958,5.698708862127534e-06,-3.5382587810760343e-07,2.2357643654781027e-06,0,0,0,0,0
0,0,783.8218903880468,-602.2495082292202,52.275081804103564,-0.0006198716582730412,-1.0210576412281303e-05,-1.3963555534426258e-05,2.934979737780385e-06,-1.4508900493274802e-07,-8.140266463625042e-07,0.0,1887.0,0.010352547280490398,469.0,0.0
0,0,783.8218322314543,-602.2495364130908,52.274266238880635,-0.0008676570141687989,-3.940295909034337e-06,7.079575852077487e-05,-6.646835461449218e-06,2.0725894729878634e-06,-1.6279483411297674e-06,0.0,1887.0,0.010352547280490398,469.0,0.0
0,0,783.8218060427924,-602.2495854061517,52.275291823168835,-0.0004983171820640564,-6.968091970940677e-05,-1.780214719339855e-06,-5.501343052435697e-06,3.250030379231213e-06,-6.243268883575988e-07,0.0,1887.0,0.010352547280490398,469.0,0.0
0,0,783.8217752779467,-602.2496326043447,52.276225497465525,-0.00034510320983827114,-4.325456095636336e-05,-9.385683329598716e-05,4.898090657372355e-06,-1.5798413946443641e-06,6.508327874229012e-07,20.0,1887.0,0.007259421981871128,469.0,988.4741821289062
0,0,783.8217261108964,-602.249663697977,52.27716630533781,-0.0006119611789472401,9.35153604536044e-06,-6.97079483382096e-05,4.280113123627098e-06,2.1537770919193785e-08,-1.4176300292972977e-06,20.0,1887.0,0.007259421981871128,469.0,988.4741821289062
0,0,783.8216617729154,-602.2496810806463,52.277606434186936,-0.0007431067642755806,3.839623161676545e-06,6.8724109483307934e-06,-1.987584722006187e-06,-1.3897618645228164e-06,-4.816630264551252e-07,20.0,689.0,0.009628236293792725,525.0,988.4741821289062
0,0,783.8215774979082,-602.249712406394,52.27779373691354,-0.0009007247863337398,-1.8379545149948598e-05,2.7191042861285546e-07,-5.09912079211058e-06,-2.1745510707958837e-06,1.007809441119077e-06,20.0,689.0,0.009628236293792725,525.0,988.4741821289062
0,0,783.8214992794091,-602.2497467966822,52.27927134713289,-0.0005319230258464813,-8.005736768659554e-06,-0.00011041250876814206,-3.063201899806493e-06,2.6623644912420273e-07,-3.99672467146539e-07,20.0,689.0,0.009628236293792725,525.0,988.4741821289062
0,0,783.8214312579389,-602.2497792076991,52.279902719577926,-0.000557716004550457,-6.73373025590819e-06,-8.113947763989532e-05,1.3892813859675404e-06,-3.573692529686107e-07,-8.157852887624089e-07,20.0,689.0,0.009628236293792725,525.0,988.4741821289062
0,0,783.821380693329,-602.2498095432139,52.279033499645905,-0.0008769651176407933,7.915032827780055e-06,3.322736958719357e-05,1.987309277757691e-06,-3.845205403651755e-06,1.0442967612885852e-07,20.0,689.0,0.00970989465713501,525.0,988.4739990234375
0,0,783.8213228450398,-602.2498374191405,52.27922874550157,-0.0008253250271081924,-2.0057882552218326e-06,1.0873012255314724e-05,1.008511059467592e-06,-2.5164229035472438e-06,9.175269866014882e-07,20.0,689.0,0.00970989465713501,525.0,988.4739990234375
0,0,783.8212275450278,-602.2498551370419,52.27976009884539,-0.0009305402054451406,-5.7698367516865474e-05,-2.3228747480584324e-05,-3.05077587222854e-06,1.7989613637632828e-06,-1.5338056119766688e-06,20.0,689.0,0.00970989465713501,525.0,988.4739990234375
0,0,783.8210884243767,-602.249889153696,52.27959874417537,-0.001117709674872458,-4.996627138256247e-05,2.9082854195121886e-05,-1.5080789947632189e-06,-1.3266958389807956e-06,2.055122169601783e-06,20.0,689.0,0.00970989465713501,525.0,988.4739990234375
0,0,783.8209356666636,-602.2499175077843,52.27906713154465,-0.001011154381558299,-2.2078046850475696e-05,-4.8121025268836186e-05,5.4518381953431e-06,4.1833380171865275e-07,1.9356693641190397e-06,60.0,589.0,0.009704223833978176,519.0,988.473876953125
